0,0.000984413,0,0,0
0,0.000984413,0,-0.767394443,0
0,0.000984413,0,-0.767394443,0
0,0.000984413,0,-0.767394443,0
0,0.000984413,0,-0.767394443,0
0,0.000984413,0,-0.767394443,0
0,0.000984413,0,-0.767394443,0
0,0.000984413,0,-0.767394443,0
0,0.000984413,0,-0.767394443,0
0,0.000984413,0,-0.767394443,0
0,0.000984413,0,-0.767394443,0
0,0.000984413,0,-0.767394443,0
0,0.000984413,0,-0.767394443,0
0,0.000984413,0,-0.767394443,0
0,0.000984413,0,-0.767394443,0
0,0.000984413,0,-0.767394443,0
0,0.000984413,0,-0.767394443,0
60,1.032675907,0.011649278,0.159949862,6.545326486
59.99999816,1.03523961,0.052633402,0.13942894,6.874689856
59.99998211,1.039821004,0.096594929,0.132890037,7.034639287
59.99992652,1.039452557,0.143038445,0.14336448,7.091726892
59.99979608,1.035365498,0.191416558,0.154538448,7.066929584
59.99954828,1.033567541,0.241498284,0.164688797,7.149649492
59.99913574,1.035272463,0.29311185,0.174074984,7.304043204
59.99850829,1.03705734,0.346039153,0.182914381,7.222775205
59.99761458,1.037724871,0.400012335,0.190736384,6.931543452
59.99640348,1.037669178,0.454932921,0.197336912,6.7381653
59.99482515,1.037764413,0.510751014,0.203020613,6.462431989
59.99283187,1.038316112,0.567658123,0.207610118,6.034021831
59.99037872,1.039651318,0.625762887,0.211220437,5.681865718
59.98742403,1.041402116,0.684987823,0.214106964,5.241350582
59.9839359,1.043034715,0.745124645,0.216162003,4.692889177
59.97990998,1.044434472,0.806057047,0.217522987,4.203640475
59.97537048,1.045281573,0.86787899,0.218539981,3.635638268
59.97036411,1.045346563,0.905599217,0.219081926,2.993212741
59.96495875,1.044920344,0.927113413,0.218817521,2.406743672
59.95924703,1.044552426,0.946300319,0.218153107,1.766694777
59.95334168,1.044500525,0.963523161,0.217259226,1.071664145
59.94736908,1.045196135,0.978885859,0.216121833,0.442650838
59.94146368,1.046486869,0.992355186,0.215005128,-0.189869983
59.93576349,1.04769497,1.004007332,0.213770309,-0.852711604
59.93040629,1.04845533,1.014190677,0.212495624,-1.443468735
59.92552663,1.048659174,1.023112924,0.211254219,-1.976706838
59.92125226,1.048457641,1.030884103,0.210048106,-2.499326948
59.91768814,1.048134653,1.037437052,0.208849951,-2.949388048
59.91490397,1.047915107,1.04230821,0.207760672,-3.31928535
59.91293838,1.047557817,1.045199645,0.206739712,-3.668234735
